,Unnamed: 0,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
116,26528,25 November 2020,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
121,28205,23 November 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,,,
124,28405,22 November 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
125,28422,22 November 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
126,28573,22 November 2020,Battles,Mali,Gao,Unidentified Armed Group (Mali),Ganda Izo,,CMFPR1: Coordination of Patriotic Movements and Forces for Resistance (Plateforme)
128,29607,20 November 2020,Battles,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
130,30235,19 November 2020,Battles,Mali,Sikasso,Unidentified Armed Group (Mali),Military Forces of Mali (2020-),,
131,30265,19 November 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
132,30306,19 November 2020,Battles,Mali,Kidal,Unidentified Armed Group (Mali),Unidentified Military Forces,,
134,31095,18 November 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Communal Militia (Mali),,
137,31554,17 November 2020,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
140,31661,17 November 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
141,31723,17 November 2020,Battles,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),
142,31733,17 November 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
143,32153,16 November 2020,Battles,Mali,Kidal,Unidentified Armed Group (Mali),Military Forces of France (2017-),,
145,32310,16 November 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
151,33250,14 November 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,,,
155,33355,14 November 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,,
157,33435,14 November 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,,
162,34037,13 November 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),
163,34044,13 November 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Dozo Communal Militia (Mali),,
164,34058,13 November 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Communal Militia (Mali),,
166,34481,13 November 2020,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
167,34487,13 November 2020,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
168,34669,12 November 2020,Battles,Mali,Segou,Bambara Ethnic Militia (Mali),Fulani Ethnic Militia (Mali),,Pastoralists (Mali)
