,Unnamed: 0,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
1348,242928,07 December 2019,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Military Forces of France (2017-),,
1349,243212,06 December 2019,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,,
1350,243805,05 December 2019,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,,
1355,245077,03 December 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Labour Group (Mali)
1356,245680,02 December 2019,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1357,245684,02 December 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1359,246071,01 December 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,,,
1360,246118,01 December 2019,Battles,Mali,Gao,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020) Gendarmerie,,
1361,247012,30 November 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1362,247063,30 November 2019,Explosions/Remote violence,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
1366,249605,26 November 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1368,250466,25 November 2019,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
1369,250965,24 November 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Tolle Communal Militia (Mali),Katiba Macina,
1371,251750,22 November 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,Katiba Macina,
1372,254378,18 November 2019,Battles,Mali,Gao,Islamic State (Greater Sahara),Military Forces of Mali (2013-2020),,Military Forces of Niger (2011-)
1381,255527,16 November 2019,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
1389,258653,12 November 2019,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020),,Police Forces of Mali (2013-2020) Gendarmerie; Police Forces of Mali (2013-2020) Prison Guards
1394,261349,08 November 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,Katiba Macina,
1397,261893,07 November 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,Katiba Macina,
1398,262034,07 November 2019,Battles,Mali,Gao,Islamic State (Greater Sahara),MSA: Movement for Azawad Salvation,,
1400,265159,03 November 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
1401,265826,02 November 2019,Explosions/Remote violence,Mali,Gao,Islamic State (Greater Sahara),Military Forces of France (2017-),,
1402,266215,01 November 2019,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Military Forces of France (2017-),
1403,266379,01 November 2019,Battles,Mali,Gao,Islamic State (Greater Sahara),Military Forces of Mali (2013-2020),,
1405,267556,30 October 2019,Battles,Mali,Mopti,Dan Na Ambassagou,Military Forces of Mali (2013-2020),,
1410,269732,27 October 2019,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,Katiba Macina,
1414,270519,26 October 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,Katiba Macina,
1416,271223,25 October 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,Katiba Macina,
1418,272014,24 October 2019,Battles,Mali,Gao,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020),,
1419,272720,23 October 2019,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020) Gendarmerie,,
1421,273294,22 October 2019,Battles,Mali,Gao,Unidentified Armed Group (Mali),GATIA: Imghad Tuareg and Allies Self-Defense Group,,
1422,273730,21 October 2019,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,Military Forces of Mali (2013-2020); Military Forces of France (2017-)
1423,273916,21 October 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,,Katiba Macina,
1424,274460,20 October 2019,Battles,Mali,Gao,Islamic State (Greater Sahara),Ganda Izo,,
1425,274647,20 October 2019,Battles,Mali,Koulikoro,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,Katiba Macina,
1428,275187,19 October 2019,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),MSA: Movement for Azawad Salvation,,GATIA: Imghad Tuareg and Allies Self-Defense Group
1429,275787,18 October 2019,Battles,Mali,Kidal,Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group,,
1432,276351,17 October 2019,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
1434,277515,16 October 2019,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),,
1437,279349,13 October 2019,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Military Forces of Mali (2013-2020),,
1440,281548,09 October 2019,Battles,Mali,Tombouctou,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020); Military Forces of the United States (2017-),AQIM: Al Qaeda in the Islamic Maghreb
1442,282730,07 October 2019,Explosions/Remote violence,Mali,Mopti,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,,
1447,283367,06 October 2019,Battles,Mali,Mopti,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,Military Forces of Togo (2005-)
1450,283658,06 October 2019,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Ansar Dine,
1459,287109,30 September 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),G5S: G5 Sahel Force (2017-),,Military Forces of Mali (2013-2020)
1460,287112,30 September 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Military Forces of Mali (2013-2020),,
1462,289541,26 September 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
1464,291121,24 September 2019,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Sinekanda Communal Militia (Mali),Pastoralists (Mali),
1470,292474,21 September 2019,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
1471,292515,21 September 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
1473,293706,19 September 2019,Battles,Mali,Tombouctou,Arab Ethnic Militia (Mali),Songhai Ethnic Militia (Mali),,
1474,293736,19 September 2019,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
1476,293832,19 September 2019,Battles,Mali,Segou,Niono Communal Militia (Mali),Police Forces of Mali (2013-2020),,
1486,296258,15 September 2019,Battles,Mali,Mopti,Dogon Ethnic Militia (Mali),Fulani Ethnic Militia (Mali),,
1489,298050,12 September 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1491,298219,11 September 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1492,298221,11 September 2019,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1494,298677,11 September 2019,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020) Operational Coordination Mechanism,,
1500,299631,09 September 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Serma,
1503,301367,05 September 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020) Operational Coordination Mechanism,,
1504,302012,04 September 2019,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1505,302272,04 September 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Military Forces of Mali (2013-2020) Operational Coordination Mechanism,,
1506,302280,04 September 2019,Battles,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,CMA: Coordination of Movements of the Azawad,,MNLA: National Movement for the Liberation of Azawad
1507,302516,03 September 2019,Explosions/Remote violence,Mali,Mopti,Military Forces of Burkina Faso (2015-),JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),,
1509,302746,03 September 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,Katiba Macina,
1510,303081,03 September 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
1522,305920,29 August 2019,Battles,Mali,Gao,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020) Gendarmerie,,Military Forces of Mali (2013-2020)
1524,306688,27 August 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1532,308312,25 August 2019,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),,
1544,310367,21 August 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1545,310374,21 August 2019,Battles,Mali,Gao,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,Ganda Izo
1548,311040,20 August 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,
1549,311042,20 August 2019,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
1555,312369,18 August 2019,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Military Forces of Mali (2013-2020),Pastoralists (Mali),
1556,312606,17 August 2019,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Police Forces of Mali (2013-2020) Gendarmerie,,
1559,313263,16 August 2019,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Civilians (Mali),,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)
1560,313619,15 August 2019,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),
1563,314626,14 August 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
1568,316867,09 August 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
1572,318146,07 August 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1573,318150,07 August 2019,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,,Katiba Macina
1574,318202,07 August 2019,Battles,Mali,Gao,Islamic State (Greater Sahara),Tuareg Ethnic Militia (Mali),,GATIA: Imghad Tuareg and Allies Self-Defense Group
1577,318695,06 August 2019,Battles,Mali,Segou,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020) Gendarmerie,,
1579,319370,05 August 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,Civilians (Mali)
1582,319958,04 August 2019,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1587,321304,01 August 2019,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Al Mourabitoune Battalion,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)
1592,322037,31 July 2019,Battles,Mali,Mopti,Dan Na Ambassagou,Unidentified Armed Group (Mali),,
1596,322650,30 July 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1600,325148,25 July 2019,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Military Forces of Mali (2013-2020),Pastoralists (Mali),
1601,325322,25 July 2019,Battles,Mali,Tombouctou,Arab Ethnic Militia (Mali),Arab Ethnic Militia (Mali),Tourmouz Clan Militia (Mali),Oulad Aich Clan Militia (Mali)
1604,326878,22 July 2019,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),Al Mourabitoune Battalion,Military Forces of Estonia; Military Forces of Mali (2013-2020)
1613,329061,18 July 2019,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),MSA: Movement for Azawad Salvation,,
1615,329715,17 July 2019,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Military Forces of Mali (2013-2020),,Military Forces of France (2017-)
1619,331274,15 July 2019,Battles,Mali,Tombouctou,Dire Communal Militia (Mali),Dire Communal Militia (Mali),Farmers (Mali),Farmers (Mali)
1629,333564,11 July 2019,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Ansar Dine,
1630,333741,10 July 2019,Explosions/Remote violence,Mali,Mopti,Military Forces of Mali (2013-2020),Dan Na Ambassagou,,
1631,334534,09 July 2019,Battles,Mali,Kayes,JNIM: Group for Support of Islam and Muslims,Forest Guards (Mali),Katiba Macina,
1632,334902,08 July 2019,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Ansar Dine,
1634,335949,06 July 2019,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),CMFPR2: Coordination of Patriotic Movements and Forces for Resistance (CMA),,
1635,336078,06 July 2019,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),AQIM: Al Qaeda in the Islamic Maghreb,Aid Workers (Mali)
1636,336512,05 July 2019,Battles,Mali,Gao,Unidentified Armed Group (Mali),Youni Communal Militia (Mali),,
1640,337326,04 July 2019,Battles,Mali,Bamako,Militia (Students),Militia (Students),,
1641,337813,03 July 2019,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020),Katiba Macina,
1643,337916,03 July 2019,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Sobangouma Communal Militia (Mali),,
1654,339643,30 June 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,Dogon Ethnic Group (Mali)
1662,340694,28 June 2019,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),,
1663,341872,26 June 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Hombori Communal Militia (Mali),,
1665,342400,26 June 2019,Battles,Mali,Kidal,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020) Operational Coordination Mechanism,,CMA: Coordination of Movements of the Azawad
1666,342497,25 June 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,Katiba Macina,
1667,342774,25 June 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,Katiba Macina,
1670,343567,24 June 2019,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,MSA: Movement for Azawad Salvation,,
1677,344235,22 June 2019,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Militia,Katiba Macina,Bambara Ethnic Militia (Mali)
1678,344274,22 June 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dozo Militia,Katiba Macina,Bambara Ethnic Militia (Mali)
1679,344797,21 June 2019,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Ansar Dine,
1685,346674,18 June 2019,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,,Katiba Macina
1686,346677,18 June 2019,Battles,Mali,Tombouctou,Islamic State (Greater Sahara),Military Forces of Mali (2013-2020),,
1693,347951,16 June 2019,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1694,347959,16 June 2019,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
1698,348409,15 June 2019,Explosions/Remote violence,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
1700,349048,14 June 2019,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),Military Forces of Mali (2013-2020),
1706,350453,12 June 2019,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),Dan Na Ambassagou,,
1718,352847,09 June 2019,Battles,Mali,Gao,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
1722,353474,08 June 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Serma,
1724,354604,05 June 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
1725,354609,05 June 2019,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,
1727,356230,02 June 2019,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of France (2017-)
1728,356291,02 June 2019,Battles,Mali,Gao,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020) Gendarmerie,,
1729,357136,01 June 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,Dogon Ethnic Group (Mali)
1730,357266,31 May 2019,Battles,Mali,Tombouctou,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),,
1733,358076,30 May 2019,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Ansar Dine,
1737,359858,28 May 2019,Battles,Mali,Gao,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
1739,360067,27 May 2019,Battles,Mali,Koulikoro,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,Katiba Macina,
1740,360087,27 May 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Somadougou Communal Militia (Mali),Katiba Macina,
1741,360528,27 May 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,Katiba Macina,
1745,360954,26 May 2019,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Militia,Katiba Macina,Bambara Ethnic Militia (Mali)
1751,361574,25 May 2019,Battles,Mali,Gao,Military Forces of Mali (2013-2020),Unidentified Armed Group (Mali),,
1752,361858,24 May 2019,Battles,Mali,Gao,Islamic State (Greater Sahara),GATIA: Imghad Tuareg and Allies Self-Defense Group,,
1754,361966,24 May 2019,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,Military Forces of France (2017-)
1760,363243,22 May 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
1762,363619,21 May 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),Katiba Macina,
1768,364454,20 May 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dozo Militia,Katiba Macina,
1769,364780,19 May 2019,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020),Katiba Macina,
1770,364782,19 May 2019,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,Katiba Macina,
1771,365170,19 May 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dozo Militia,Katiba Macina,Bambara Ethnic Militia (Mali)
1773,365517,18 May 2019,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Ansar Dine,
1775,365771,17 May 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dozo Militia,Katiba Macina,
1776,366058,17 May 2019,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
1777,366375,16 May 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
1778,366461,16 May 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dozo Militia,Katiba Macina,
1782,367241,15 May 2019,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),
1783,367632,15 May 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1785,367797,14 May 2019,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
1788,368046,14 May 2019,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),Ansar Dine,
1794,369246,12 May 2019,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,MSA: Movement for Azawad Salvation,,
1796,369543,11 May 2019,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Military Forces of Mali (2013-2020),Pastoralists (Mali),Dan Na Ambassagou
1797,369794,11 May 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,Dogon Ethnic Militia (Mali)
1800,370165,10 May 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
1802,370710,09 May 2019,Explosions/Remote violence,Mali,Mopti,Military Forces of Mali (2013-2020),Dan Na Ambassagou,,
1805,371920,07 May 2019,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Al Mourabitoune Battalion,
1806,371925,07 May 2019,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,AQIM: Al Qaeda in the Islamic Maghreb,
1807,372130,07 May 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
1809,372174,07 May 2019,Battles,Mali,Sikasso,Unidentified Armed Group (Mali),Forest Guards (Mali),,
1810,372464,06 May 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
1811,373092,05 May 2019,Explosions/Remote violence,Mali,Koulikoro,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,,Katiba Macina
1814,374056,04 May 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1816,374751,02 May 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1820,376851,29 April 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dozo Militia,Katiba Macina,
1823,378133,26 April 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,
1824,378150,26 April 2019,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
1825,378800,25 April 2019,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),,
1833,380066,23 April 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
1835,380472,22 April 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1838,380999,21 April 2019,Battles,Mali,Koulikoro,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1839,381430,20 April 2019,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,
1840,381550,20 April 2019,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
1846,382678,18 April 2019,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Military Forces of Mali (2013-2020),,
1849,383036,17 April 2019,Battles,Mali,Kidal,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
1852,383430,16 April 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
1853,383433,16 April 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Macina,
1855,384522,15 April 2019,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),
1857,384680,14 April 2019,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),Civilians (Mali),,
1861,386286,11 April 2019,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,Military Forces of Burkina Faso (2015-); Police Forces of Burkina Faso (2015-) Gendarmerie,Katiba Macina
1863,386516,11 April 2019,Battles,Mali,Gao,Islamic State (Greater Sahara),MSA: Movement for Azawad Salvation,,
1866,387345,10 April 2019,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Al Mourabitoune Battalion,
1868,388707,07 April 2019,Battles,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),Katiba Serma
1870,389147,06 April 2019,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Katiba Macina,
